Latitude,Longitude,Label,Year,Image_URL
48.857755,2.324094,Boulevard Saint-Germain 75007 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078568_001.jpg?itok=4OcfHK2P
48.850017,2.349436,Boulevard Saint-Germain 75005 Paris,En 1896,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078569_001.jpg?itok=MAmQ81XG
48.875121,2.286937,Rue du Bois de Boulogne 75016 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078345_001.jpg?itok=o8WK962e
48.884747,2.321188,Rue des Batignolles 75017 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078348_001.jpg?itok=kT8J7LdZ
48.884747,2.321188,Rue des Batignolles 75017 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078349_001.jpg?itok=IHma-A_n
48.890594,2.319921,Avenue de Clichy 75017 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078350_001.jpg?itok=2sD06Uhq
48.875013,2.290027,Avenue de la Grande Armée 75016 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078351_001.jpg?itok=cgmp5czC
48.875013,2.290027,Avenue de la Grande Armée 75016 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078352_001.jpg?itok=RsK9rtf7
48.885145,2.30759,Boulevard Malesherbes 75017 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078353_001.jpg?itok=dwkZpazW
48.885145,2.30759,Boulevard Malesherbes 75017 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078354_001.jpg?itok=dai_vrwW
48.885145,2.30759,Boulevard Malesherbes 75017 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078355_001.jpg?itok=kzVOB6e5
48.885145,2.30759,Boulevard Malesherbes 75017 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078357_001.jpg?itok=FlnWVjvt
48.88274,2.311299,Place du Général Catroux 75017 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078358_001.jpg?itok=U6yXLBCJ
48.848958,2.32136,Rue de Sèvres 75007 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078578_001.jpg?itok=gDyKNDiP
48.848958,2.32136,Rue de Sèvres 75007 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078579_001.jpg?itok=70fg7lE1
48.848958,2.32136,Rue de Sèvres 75007 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078580_001.jpg?itok=Z_OBMcU2
48.848958,2.32136,Rue de Sèvres 75007 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078581_001.jpg?itok=VzYDTucB
48.848958,2.32136,Rue de Sèvres 75007 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078582_001.jpg?itok=38SMT7Q4
48.848958,2.32136,Rue de Sèvres 75007 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078583_001.jpg?itok=ukOduBfu
48.848958,2.32136,Rue de Sèvres 75007 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078584_001.jpg?itok=pwRfRczJ
48.848958,2.32136,Rue de Sèvres 75007 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078585_001.jpg?itok=rdJtyAcR
48.858754,2.331345,Quai Voltaire 75007 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078594_001.jpg?itok=s-5_RR0O
48.858754,2.331345,Quai Voltaire 75007 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078596_001.jpg?itok=qnbZ-xKV
48.852588,2.332936,Rue du Four 75006 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078544_001.jpg?itok=7GAyV_LM
48.852791,2.331505,Rue du Sabot 75006 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078546_001.jpg?itok=k0It7qUz
48.852791,2.331505,Rue du Sabot 75006 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078547_001.jpg?itok=kUMzqTwt
48.838398,2.330927,Boulevard Raspail 75014 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078550_001.jpg?itok=ZjQzaG1b
48.838398,2.330927,Boulevard Raspail 75014 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078552_001.jpg?itok=xJt_wb9l
48.838398,2.330927,Boulevard Raspail 75014 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078554_001.jpg?itok=8cc90IW7
48.853055,2.336722,Boulevard Saint-Germain 75006 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078557_001.jpg?itok=wEGQEA-N
